"","YEAR","ENTIDAD_RES","[1,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,120)"
"112",2023,"hidalgo",2,5,7,6,5,5,8,8,4,3,2,0,1,3,1,0
"113",2016,"jalisco",16,36,50,75,89,63,47,44,29,39,27,25,19,13,9,29
"114",2017,"jalisco",15,32,30,37,40,45,40,27,23,19,24,17,9,11,9,14
"115",2018,"jalisco",40,54,75,98,85,81,89,54,52,53,40,53,30,21,15,23
"116",2019,"jalisco",192,343,788,760,744,699,591,582,531,451,413,380,311,310,216,360
"117",2020,"jalisco",44,100,147,123,121,118,139,113,90,104,70,55,60,37,32,50
"118",2021,"jalisco",2,10,8,7,3,10,14,9,5,9,5,8,4,2,4,4
"119",2022,"jalisco",7,8,3,7,8,4,7,5,7,7,6,6,3,2,1,2
"120",2023,"jalisco",9,23,20,28,29,31,28,15,20,14,16,12,8,8,5,10
"121",2016,"m'exico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",2017,"m'exico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",2018,"m'exico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",2019,"m'exico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",2020,"m'exico",3,15,16,10,10,4,19,9,7,1,4,3,2,1,0,3
"126",2021,"m'exico",0,7,4,10,3,5,2,3,5,2,3,4,1,4,2,2
"127",2022,"m'exico",11,25,40,38,34,32,25,29,25,23,32,20,17,15,9,16
"128",2023,"m'exico",14,26,46,30,27,25,42,36,36,25,13,18,17,16,8,5
"129",2016,"mexico",5,5,12,14,11,13,12,12,6,9,9,5,1,2,0,2
"130",2017,"mexico",4,5,7,11,13,14,9,9,5,11,5,5,4,1,2,1
"131",2018,"mexico",0,1,1,4,4,2,3,1,2,2,2,2,0,3,0,1
"132",2019,"mexico",1,4,7,8,7,15,12,8,8,7,3,3,1,2,2,2
