"","YEAR","ENTIDAD_RES","[1,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,120)"
"130",2017,"mexico",18,56,108,139,138,137,102,90,74,71,55,48,40,27,15,16
"131",2018,"mexico",11,17,35,42,50,39,37,33,27,25,23,12,15,13,4,8
"132",2019,"mexico",6,41,56,52,45,62,59,45,40,43,29,16,22,9,7,13
"133",2020,"mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",2021,"mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",2022,"mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",2023,"mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",2016,"michoac'an de ocampo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",2017,"michoac'an de ocampo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",2018,"michoac'an de ocampo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",2019,"michoac'an de ocampo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",2020,"michoac'an de ocampo",201,511,644,651,878,989,868,707,605,563,418,281,186,117,76,72
"142",2021,"michoac'an de ocampo",29,83,92,57,61,66,54,42,39,31,26,24,16,5,5,9
"143",2022,"michoac'an de ocampo",25,54,58,33,33,26,20,36,23,25,11,17,8,3,2,3
"144",2023,"michoac'an de ocampo",61,200,231,181,173,181,171,160,126,101,98,68,45,36,20,19
"145",2016,"michoacan",157,241,371,374,456,486,402,390,324,269,225,181,114,82,41,42
"146",2017,"michoacan",60,82,83,105,84,113,92,88,79,62,55,33,26,12,9,15
"147",2018,"michoacan",56,88,90,102,63,67,81,64,75,54,43,34,23,12,8,8
"148",2019,"michoacan",215,385,397,353,282,298,212,210,170,160,119,87,70,35,24,33
"149",2020,"michoacan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",2021,"michoacan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151",2022,"michoacan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152",2023,"michoacan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",2016,"morelos",220,598,859,801,813,728,692,596,563,438,372,281,212,121,68,110
"154",2017,"morelos",95,219,310,335,305,320,252,245,228,174,146,117,83,57,29,30
"155",2018,"morelos",60,91,132,130,116,111,114,94,99,70,69,41,34,16,16,9
"156",2019,"morelos",350,847,1301,1159,879,921,835,755,624,637,474,465,292,194,103,145
"157",2020,"morelos",80,219,275,260,295,293,292,247,194,210,157,116,61,56,32,30
"158",2021,"morelos",98,254,308,305,253,296,244,202,163,150,104,85,53,47,24,20
"159",2022,"morelos",83,162,264,208,210,209,186,155,137,113,99,63,40,27,18,17
"160",2023,"morelos",952,2580,3435,2833,3127,3393,3151,2644,2223,2044,1713,1264,911,559,421,409
"161",2016,"nayarit",107,262,332,349,322,308,245,240,225,181,132,85,80,75,32,70
"162",2017,"nayarit",80,159,193,205,235,241,244,221,179,142,126,87,70,40,31,43
"163",2018,"nayarit",26,61,76,69,84,84,87,64,48,49,29,24,18,11,5,9
"164",2019,"nayarit",270,572,750,605,608,608,563,516,423,382,276,212,125,84,75,74
"165",2020,"nayarit",163,499,604,476,593,645,668,545,500,433,333,224,161,102,86,99
"166",2021,"nayarit",20,13,30,40,51,49,47,30,30,21,20,11,7,8,4,5
"167",2022,"nayarit",16,28,24,28,33,36,25,27,18,8,21,5,8,6,4,6
"168",2023,"nayarit",34,153,203,136,138,133,146,138,100,79,76,57,36,22,10,21
"169",2016,"nuevo le'on",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",2017,"nuevo le'on",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",2018,"nuevo le'on",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172",2019,"nuevo le'on",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173",2020,"nuevo le'on",71,209,388,445,842,851,627,522,459,428,336,213,117,67,37,36
"174",2021,"nuevo le'on",11,15,15,17,34,41,24,26,26,10,15,8,3,2,3,3
"175",2022,"nuevo le'on",7,9,12,11,21,17,17,14,9,12,10,9,2,1,2,1
"176",2023,"nuevo le'on",9,16,22,13,17,26,21,21,24,13,15,8,6,6,4,3
"177",2016,"nuevo leon",36,86,170,193,212,236,194,227,215,215,184,137,72,55,37,56
"178",2017,"nuevo leon",241,565,1055,963,1023,925,802,721,796,751,498,374,272,187,127,114
"179",2018,"nuevo leon",145,364,584,565,586,501,395,406,394,353,266,218,134,91,69,68
"180",2019,"nuevo leon",93,210,318,339,353,389,244,243,232,266,146,129,75,56,36,45
"181",2020,"nuevo leon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
