"","NOM_ENT","Year","1A4","5A9","10A14","15A19","20A24","25A29","30A34","35A39","40A44","45A49","50A54","55A59","60A64","65A69","70A74","75YMAS"
"60","coahuila","2019",229351.308423215,275484.56154045,271325.910613041,269828.221489997,263432.856229582,239758.24730307,222904.227078232,219901.291330688,218015.864878869,198706.877300368,173439.034255698,138045.233545586,113657.683644118,81990.5066906569,59090.6675610777,80948.6461695521
"61","coahuila","2020",230264.684269818,276765.698119984,268669.85257141,269812.088205738,264831.339663416,246399.26358525,224768.927730965,220064.72044748,219115.863302121,205604.418101313,178563.492400207,142493.895382492,119183.270792444,84587.5585274463,61804.9674280045,83644.7131485838
"62","coahuila","2021",231181.697573049,278052.79260484,266039.795158706,269795.955886104,266237.247212612,253224.228064235,226649.227498034,220228.271023659,220221.411764274,212741.387299236,183839.3586253,147085.920315906,124977.490138391,87266.872061537,64643.9472836957,86430.5750469795
"63","coahuila","2022",232102.36281883,279345.872702163,263435.483850108,269779.824531037,267650.618289499,260238.235884752,228545.256873505,220391.943149494,221332.538268033,220126.095966002,189271.10645895,151825.928381736,131053.401517168,90031.0529347368,67613.3342402467,89309.2225647502
"64","coahuila","2023",233026.694550773,280644.966247948,260856.66661238,269763.694140478,269071.492515632,267446.523320937,230457.147443088,220555.73691532,222449.270957392,227767.143668558,194863.341604724,156718.688501713,137424.699681533,92882.7893226384,70719.1184817445,92283.7460098424
"65","colima","2016",48938.4600540094,62628.4294328256,62598.5129781391,62102.2949969153,63510.2392477476,58922.4408663406,56377.352912121,52853.8787735328,50365.8334880774,41194.0085062509,38685.5379579918,29997.9993833911,24638.512454888,18321.4062886791,12914.6277091604,19904.6602833829
"66","colima","2017",47423.8210971339,62014.8701881084,62185.8316184515,61780.6483821697,62483.58503134,58738.6279217944,56678.103589806,53312.485618794,50601.7715335129,42633.1640270482,39406.82729926,31157.603467879,25854.5786088901,19207.2575718113,13652.5629606862,20785.3734578791
"67","colima","2018",45956.0600184579,61407.3218708597,61775.8708649976,61460.6676727628,61473.526861374,58555.3883954244,56980.4586523274,53775.0717413267,50838.814827436,44122.5979424019,40141.5650334235,32362.0332627611,27130.6653056753,20135.9403103166,14432.6634567478,21705.0551796746
"68","colima","2019",44533.7259537643,60805.7255931245,61368.6127821521,61142.3442404656,60479.7964598323,58372.72049841,57284.426658438,54241.6716688486,51076.9685473677,45664.0667803056,40890.001904894,33613.0215528206,28469.7349379917,21109.5254314538,15257.3384979484,22665.4296737756
"69","colima","2020",43155.4129428942,60210.0230438627,60964.0395525304,60825.6695017376,59502.1298854593,58190.6224475107,57590.0162125481,54712.3202286701,51316.2378950832,47259.3884348845,41652.3933331962,34912.3681054515,29874.8961113739,22130.1839930905,16129.1350511012,23668.2974562504
"70","colima","2021",41819.7585399722,59620.1564832967,60562.1334762091,60510.634917495,58540.2674636561,58009.0924650493,57897.2359649691,55187.0525502941,51556.6280967253,48910.4443102856,42428.9995001356,36261.9422599414,31349.4108606668,23200.1920250801,17050.7456154062,24715.5387098485
"71","colima","2022",40525.4424666454,59036.0687373147,60162.8769699519,60197.2319928803,57593.9537175098,57828.1287788937,58206.0946121584,55665.9040680379,51798.1444029187,50619.1815394657,43220.0854385902,37663.685616846,32896.7022227311,24321.9356047217,18025.0165380966,25809.1168089786
"72","colima","2023",39271.1853070033,58457.7031919295,59766.2525664401,59885.4522770336,56662.9372999364,57647.7296224406,58516.6008969656,56148.9105236783,52040.7920888843,52387.6152804964,44025.9211229591,39119.6148313238,34520.3621829091,25497.916177622,19054.9568052375,26951.0820006556
"73","durango","2016",142534.874240602,172302.246040751,170635.143399124,166710.745523462,156761.214517328,132803.459991134,122784.849675461,119412.413451671,114906.907628331,97397.2434542797,89297.453579973,69231.800260135,55833.2211854327,43636.8379197425,33864.748564731,50551.7663528006
"74","durango","2017",141432.017152039,173302.564608207,170617.980036814,165844.547680188,156029.439696927,134890.835674332,124490.464857534,119318.255271549,114974.006291775,100005.653024876,91205.4049492872,71810.1620582296,58360.8956613705,45105.1656619346,34627.4406997823,51944.3739521505
"75","durango","2018",140337.693369901,174308.6906289,170600.818400883,164982.850438849,155301.080864272,137011.020271116,126219.772890613,119224.171336328,115041.144136768,102683.918786949,93154.1220771054,74484.548364381,61003.0026941384,46622.9008878324,35407.3099679151,53375.3453133565
"76","durango","2019",139251.836868114,175320.657818601,170583.658491158,164125.630415157,154576.122073237,139164.5294648,127973.102894185,119130.161587466,115108.32118619,105433.911569198,95144.4759746563,77258.5353664441,63764.7228598695,48191.7061005517,36204.7432275843,54845.7372870522
"77","durango","2020",138174.382131486,176338.500088823,170566.500307465,163272.864346329,153854.547452138,141351.887044097,129750.788559559,119036.225966466,115175.537462933,108257.552303256,97177.3562634089,80135.8324382678,66651.4712690799,49813.2997444622,37020.1360499597,56356.6358381503
"78","durango","2021",137105.26415174,177362.251547957,170549.343849631,162424.529090447,153136.341203377,143573.625030515,131553.168213385,118942.364414876,115242.792989905,111156.813365503,99253.6715727033,83120.287099868,69668.9081844788,51489.4580875449,37853.8929151513,57909.1568478865
"79","durango","2022",136044.418423602,178391.946502411,170532.189117482,161580.601625837,152421.487603104,145830.283807758,133380.584882034,118848.576874293,115310.087790024,114133.719954812,101374.349945878,86215.8901623288,72822.9501194676,53222.0171670875,38706.4274128539,59504.4469379595
